"","title","categories","published_year","average_rating","authors"
"5434","basic political writings","Philosophy",1987,3.87,"Jean-Jacques Rousseau"
"5435","introduction to the philosophy of history","Philosophy",1988,3.73,"G. W. F. Hegel"
"5436","on justice, power, and human nature","History",1993,3.72,"Thucydides"
"5437","leviathan","Philosophy",1994,3.69,"Thomas Hobbes"
"5439","complete works","Fiction",1997,4.34,"Plato"
"5440","aristophanes 1","Drama",1998,3.76,"Aristophanes"
"5441","aristophanes 1","Drama",1998,3.76,"Aristophanes"
"5442","the peloponnesian war","History",1998,3.89,"Thucydides"
"5443","discourse on method ; and","Philosophy",1998,3.7,"Ren<U+00E9> Descartes"
"5444","statesman","Philosophy",1999,3.84,"Plato"
"5445","the trial and death of socrates (third edition)","Philosophy",2000,4.07,"Plato"
"5446","lysistrata","Literary Criticism",2003,3.85,"Aristophanes"
"5447","five dialogues","Philosophy",2002,4.12,"Plato"
"5448","confucius analects","Philosophy",2003,3.84,"Confucius"
"5452","readings in classical chinese philosophy (second edition)","Philosophy",2005,3.97,"Philip J. Ivanhoe"
"5453","plato on love","Philosophy",2006,4.05,"Plato"
"5456","erotism","Philosophy",1962,4.1,"Georges Bataille"
"5457","the scripture of the golden eternity","Literary Criticism",1960,3.95,"Jack Kerouac"
"5459","a power governments cannot suppress","History",2007,4.27,"Howard Zinn"
"5461","early candlelight","Fiction",1992,3.66,"Maud Hart Lovelace"
"5462","the st. paul stories of f. scott fitzgerald","Fiction",2004,3.97,"Francis Scott Fitzgerald"
"5463","approaches to teaching atwood's the handmaid's tale and other works","Literary Criticism",1996,3.75,"Sharon Rose Wilson"
"5464","julie, or, the new heloise","Literary Criticism",1997,3.46,"Jean-Jacques Rousseau"
"5470","mockingbird wish me luck","Fiction",2002,4.13,"Charles Bukowski"
"5471","you get so alone at times","Fiction",2002,4.25,"Charles Bukowski"
"5473","the loftier way","Fiction",1985,3.78,"Blaine M. Yorgason"
"5474","a full house","Fiction",1999,3.99,"Madeleine L'engle"
"5475","the rock that is higher","Religion",1993,4.13,"Madeleine L'engle"
"5476","conversations with ernest hemingway","Literary Criticism",1986,4.17,"Ernest Hemingway"
"5477","conversations with jerzy kosinski","Literary Criticism",1993,3.75,"Jerzy Kosinski"
"5478","conversations with john updike","Biography & Autobiography",1994,3.58,"John Updike"
"5481","exercitia spiritualia","Religion",1989,3.2,"Saint Gertrude (The Great)"
"5482","harpo speaks!","Biography & Autobiography",1985,4.4,"Harpo Marx"
"5483","jean arthur","Biography & Autobiography",1999,3.89,"John Oller"
"5484","hamlet's mill","Philosophy",1977,4.27,"Giorgio De Santillana"
"5485","life, a user's manual","Fiction",1987,4.22,"Georges Perec"
"5486","broken vessels","Fiction",1992,4.32,"Andre Dubus"
"5490","the assignation","Fiction",1996,3.81,"Joyce Carol Oates"
"5491","first love","Fiction",1997,3.19,"Joyce Carol Oates"
"5497","the secret of santa vittoria","Fiction",1986,4.13,"Robert Crichton"
"5499","alfred hitchcock","Fiction",2005,3.87,"Alfred Hitchcock"
"5500","god's generals","Biography & Autobiography",2003,4.45,"Roberts Liardon"
"5502","to battle the gods","Fiction",1986,4.09,"Sharon Green"
"5503","quester's endgame","Fiction",1986,3.97,"Patricia Josephine Clayton"
"5504","phantoms","Fiction",1989,3.38,"Martin Harry Greenberg"
"5505","magic's pawn","Fiction",1989,4.21,"Mercedes Lackey"
"5506","arrows of the queen","Fiction",1987,4.16,"Mercedes Lackey"
"5507","arrow's fall","Fiction",1988,4.19,"Mercedes Lackey"
"5508","magic's price","Fiction",1990,4.27,"Mercedes Lackey"
"5509","the madness season","Fiction",1990,4.05,"C. S. Friedman"
"5510","by the sword","Fiction",1991,4.25,"Mercedes Lackey"
"5511","shadowkill","Fiction",1991,3.98,"Jo Clayton"
"5512","winds of fate","Fiction",1992,4.03,"Mercedes Lackey"
"5513","to green angel tower","Fiction",1994,4.2,"Tad Williams"
"5514","dance down the stars","Fiction",1994,3.73,"Jo Clayton"
"5515","fire in the sky","Fiction",1995,3.87,"Jo Clayton"
"5516","storm warning","Fiction",1995,4.02,"Mercedes Lackey"
"5517","sword of ice and other tales of valdemar","Fiction",1997,3.84,"Mercedes Lackey"
"5518","oathblood","Fiction",1998,4.05,"Mercedes Lackey"
"5519","this alien shore","Fiction",1999,4.04,"C. S. Friedman"
"5520","river of blue fire","Fiction",1999,4.01,"Tad Williams"
"5521","new amazons","Fiction",2000,3.55,"Margaret Weis"
"5522","good grief","Biography & Autobiography",1989,3.72,"Rheta Grimsley Johnson"
"5523","experimental phenomenology","Philosophy",1986,3.73,"Don Ihde"
"5529","the fish kisser","Fiction",2001,3.44,"James Hawkins"
"5530","the great gatsby","Fiction",1925,3.91,"F. Scott Fitzgerald"
"5535","the politically incorrect guide to american history","History",2004,4.02,"Thomas E. Woods, Jr."
"5537","the real jimmy carter","Biography & Autobiography",2004,3.42,"Steven F. Hayward"
"5539","topsail island","History",2006,3.92,"Ray Mcallister"
"5543","rita hayworth and shawshank redemption","Fiction",1982,4.52,"Stephen King"
"5548","three philosophies of life","Religion",1989,4.3,"Peter Kreeft"
"5549","christianity for modern pagans","Religion",1993,4.38,"Peter Kreeft"
"5550","saint ignatius loyola","Biography & Autobiography",1998,4.1,"James Brodrick"
"5551","tolkien","Biography & Autobiography",1998,4.06,"Joseph Pearce"
"5552","no price too high","Biography & Autobiography",2006,4.26,"Alex Jones"
"5553","c.s. lewis and the catholic church","Religion",2003,3.88,"Joseph Pearce"
"5556","the confessions of st. augustine","Biography & Autobiography",1997,3.91,"Saint Augustine (Bishop Of Hippo.)"
"5558","the shining","Fiction",1987,4.67,"Stephen King"
"5560","aristotle's nicomachean ethics","Philosophy",1984,3.93,"Aristotle"
"5562","the handbook (the encheiridion)","Philosophy",1983,4.22,"Epictetus"
"5563","his share of glory","Fiction",1940,4.14,"Cyril M. Kornbluth"
"5564","secret of the peaceful warrior","Juvenile Fiction",1991,4.18,"Dan Millman"
"5566","through the arc of the rain forest","Fiction",1990,3.91,"Karen Tei Yamashita"
"5571","big dead place","History",2005,3.73,"Nicholas Johnson"
"5574","life amongst the modocs","Biography & Autobiography",1996,4.32,"Joaquin Miller"
"5578","black man of the nile and his family","History",1989,4.56,"Yosef Ben-Jochannan"
"5579","african origins of the major """"western religions""""","Religion",1991,4.56,"Yosef Ben-Jochannan"
"5581","discovering great artists","Juvenile Nonfiction",1996,4.24,"Maryann F. Kohl"
"5584","the atlantis dialogue","Fiction",2001,3.77,"Plato"
"5586","yosemite","History",1989,3.96,"Margaret Sanborn"
"5589","letters, summer 1926","Biography & Autobiography",2001,4.27,"Boris Leonidovich Pasternak"
"5590","seduction and betrayal","Literary Criticism",2001,4.06,"Elizabeth Hardwick"
"5592","novels","Fiction",1983,4.15,"Nathaniel Hawthorne"
"5595","the leatherstocking tales: the pathfinder, or the inland sea. the deerslayer, or the first war-path","Fiction",1985,3.95,"James Fenimore Cooper"
"5602","writings, 1878-1899","Fiction",1992,4.22,"William James"
"5605","historical romances","Fiction",1994,4.37,"Mark Twain"
"5606","christian mythmakers","Literary Criticism",2002,3.93,"Rolland Hein"
"5607","the little big book for god's children","Religion",2001,4.88,"Lena Tabori"
"5608","<U+05D6><U+05DF> <U+05D5><U+05D0><U+05D5><U+05DE><U+05E0><U+05D5><U+05EA> <U+05D4><U+05D0><U+05D5><U+05E9><U+05E8>","Philosophy",2006,4.04,"Chris Prentiss"
"5610","leaving the 20th century","Philosophy",1998,4.14,"Christopher Gray"
"5611","on the trail of mary queen of scots","Biography & Autobiography",1999,3.27,"J. Keith Cheetham"
"5617","graphic storytelling","Literary Criticism",1996,4.09,"Will Eisner"
"5619","pyramids of montauk","Fiction",1995,3.91,"Preston B. Nichols"
"5625","desire and duty","Fiction",1997,2.85,"Teddy F. Bader"
"5630","storm of the century","Fiction",1999,3.91,"Stephen King"
"5633","the buddha in your mirror","Religion",2001,4.28,"Woody Hochswender"
"5637","dark rivers of the heart/intensity/sole survivor","Fiction",2001,4.41,"Dean Koontz"
"5639","transcending the levels of consciousness","Religion",2005,4.53,"David R. Hawkins"
"5643","tea with jane austen","Biography & Autobiography",2004,3.78,"Kim Wilson"
"5644","dark birthright","History",2006,3.63,"Jeanne Treat"
"5645","ultimate unofficial guide to the mysteries of harry potter","Literary Criticism",2003,4.05,"Galadriel Waters"
"5649","my sister's keeper","Fiction",2004,3.86,"Mavis Applewater"
"5652","first love","Fiction",2004,3.79,"Ivan Sergeevich Turgenev"
"5653","brando unzipped","Biography & Autobiography",2006,3.55,"Darwin Porter"
"5655","open my eyes, lord","Religion",2004,4.27,"Gary Oates"
"5657","caesar's commentaries","Biography & Autobiography",2005,4.12,"Julius Caesar"
"5658","hoodwinked","Fiction",2005,4.43,"Quentin Carter"
"5659","jesus freaks","Fiction",2006,3.67,"Andre Duza"
"5660","the wood boy","Comics & Graphic Novels",2005,3.63,"Raymond E. Feist"
"5661","unauthorized harry potter and the deathly hallows news","Fiction",2005,3.69,"W. Frederick Zimmerman"
"5662","clown girl","Fiction",2007,3.42,"Monica Drake"
"5665","the giraffe who was afraid of heights","Juvenile Fiction",2006,3.81,"David A. Ufer"
"5669","george washington's sacred fire","Biography & Autobiography",2006,4.2,"Peter A. Lillback"
"5670","plague of the dead","Fiction",2006,3.84,"Z. A. Recht"
"5671","brevity & echo","Fiction",2006,4.38,"Kathleen Rooney"
"5680","the crack in space","Fiction",1966,3.46,"Philip K. Dick"
"5681","lies, inc","Fiction",2004,3.17,"Philip K. Dick"
"5682","vulcan's hammer","Fiction",1960,3.51,"Philip K. Dick"
"5683","a fine balance","Fiction",1997,4.36,"Rohinton Mistry"
"5685","my name is asher lev","Fiction",2003,4.2,"Chaim Potok"
"5686","the o. henry prize stories 2003","Fiction",2003,3.8,"Laura Furman"
"5687","morality for beautiful girls","Fiction",2002,3.98,"Alexander Mccall Smith"
"5688","before you know kindness","Fiction",2005,3.46,"Chris Bohjalian"
"5690","1491","History",2006,4.02,"Charles C. Mann"
"5693","miami blues","Fiction",2004,3.94,"Charles Ray Willeford"
"5694","his excellency","Biography & Autobiography",2005,3.92,"Joseph J. Ellis"
"5695","the curious incident of the dog in the night-time","Fiction",2003,3.87,"Mark Haddon"
"5696","under the banner of heaven","History",2004,3.99,"Jon Krakauer"
"5697","diary","Fiction",2004,3.61,"Chuck Palahniuk"
"5698","haunted","Fiction",2006,3.59,"Chuck Palahniuk"
"5699","the complete short novels","Fiction",2005,4.47,"Anton Pavlovich Chekhov"
"5700","isaac newton","Biography & Autobiography",2004,3.83,"James Gleick"
"5702","beloved","Fiction",2004,3.81,"Toni Morrison"
"5703","song of solomon","Fiction",2004,4.04,"Toni Morrison"
"5704","you shall know our velocity!","Fiction",2003,3.63,"Dave Eggers"
"5706","who will run the frog hospital?","Juvenile Fiction",2004,3.79,"Lorrie Moore"
"5707","a thousand acres","Fiction",2003,3.8,"Jane Smiley"
"5708","providence of a sparrow","Biography & Autobiography",2004,4.32,"Chris Chester"
"5709","istanbul","Biography & Autobiography",2006,3.78,"Orhan Pamuk"
"5710","the razor's edge","Fiction",2003,4.19,"W. Somerset Maugham"
"5711","the dew breaker","Fiction",2005,3.79,"Edwidge Danticat"
"5712","under the glacier","Fiction",2005,3.59,"Halld<U+00F3>r Laxness"
"5713","case closed","History",2003,3.96,"Gerald Posner"
"5714","love in the time of cholera","Fiction",2003,3.9,"Gabriel Garc<U+00ED>a M<U+00E1>rquez"
"5715","strange pilgrims","Fiction",2006,4.03,"Gabriel Garc<U+00ED>a M<U+00E1>rquez"
"5716","chronicle of a death foretold","Fiction",2003,3.96,"Gabriel Garcia Marquez"
"5717","the no. 1 ladies' detective agency","Fiction",2002,3.77,"Alexander Mccall Smith"
"5718","a madman dreams of turing machines","Fiction",2006,3.68,"Janna Levin"
"5721","ten days in the hills","Fiction",2007,2.51,"Jane Smiley"
"5723","pnin","Fiction",2004,3.89,"Vladimir Vladimirovich Nabokov"
"5724","the plague","Fiction",2004,4.34,"Albert Camus"
"5725","dead souls","Fiction",2004,3.99,"Nikola<U+012D> Vasil<U+02B9>evich Gogol<U+02B9>"
"5726","the general in his labyrinth","Fiction",2004,3.68,"Gabriel Garc<U+00ED>a M<U+00E1>rquez"
"5727","my life in france","Biography & Autobiography",2006,4.17,"Julia Child"
"5728","half of a yellow sun","Fiction",2006,4.31,"Chimamanda Ngozi Adichie"
"5729","suite francaise","Fiction",2006,3.83,"Irene Nemirovsky"
"5731","imperial life in the emerald city","History",2006,4.02,"Rajiv Chandrasekaran"
