"","title","categories","published_year","average_rating","authors"
"1","gilead","Fiction",2004,3.85,"Marilynne Robinson"
"4","rage of angels","Fiction",1993,3.93,"Sidney Sheldon"
"13","warhost of vastmark","Fiction",1995,4.03,"Janny Wurts"
"36","ocean star express","Juvenile Fiction",2002,3.5,"Mark Haddon"
"38","the princess of the chalet school","Juvenile Fiction",2000,4.1,"Elinor Mary Brent-Dyer"
"55","taken at the flood","Fiction",2002,3.71,"Agatha Christie"
"61","the illustrated man","Fiction",2002,4.14,"Ray Bradbury"
"70","the yiddish policemen's union","Fiction",2007,3.7,"Michael Chabon"
"77","the real trial of oscar wilde","Biography & Autobiography",2004,4.04,"Merlin Holland"
"82","the silmarillion","Fiction",2004,3.91,"John Ronald Reuel Tolkien"
"94","tropic of cancer","Fiction",2005,3.69,"Henry Miller"
"96","the love of the last tycoon","Fiction",1994,3.65,"F. Scott Fitzgerald"
"97","the song of rhiannon","Fiction",1992,4.02,"Evangeline Walton"
"98","heart songs and other stories","Fiction",1995,3.93,"Annie Proulx"
"99","the voyage of the dawn treader","Juvenile Fiction",1970,4.09,"Clive Staples Lewis"
"101","the short stories of ernest hemingway","Fiction",1986,4.26,"Ernest Hemingway"
"103","reason in history","Philosophy",1953,3.64,"Georg Wilhelm Friedrich Hegel"
"105","the presocratics","Philosophy",1966,4.04,"Philip Wheelwright"
"106","spandau","History",1976,4.12,"Albert Speer"
"109","tyranny of the majority","History",1995,3.82,"Lani Guinier"
"110","the origins of the civil rights movement","History",1986,4.04,"Aldon D. Morris"
"111","presidential power and the modern presidents","History",1991,3.79,"Richard E. Neustadt"
"112","rest, rabbit, rest","Juvenile Fiction",1978,4.01,"Jacquelyn Reinach"
"113","where the red fern grows","Juvenile Fiction",2000,4.37,"Wilson Rawls"
"114","poppy's return","Juvenile Fiction",2006,3.99,"Avi"
"115","diary of a spider","Juvenile Fiction",2005,4.25,"Doreen Cronin"
"116","an old-fashioned thanksgiving","Juvenile Fiction",2005,3.7,"Louisa May Alcott"
"118","how to read literature like a professor","Literary Criticism",2003,3.65,"Thomas C. Foster"
"119","the amazing maurice and his educated rodents","Juvenile Fiction",2001,4.05,"Terry Pratchett"
"120","the wee free men","Juvenile Fiction",2004,4.27,"Terry Pratchett"
"121","going postal","Fiction",2004,4.38,"Terry Pratchett"
"123","she went all the way","Fiction",2002,3.69,"Meg Cabot"
"124","island","Fiction",1962,3.85,"Aldous Huxley"
"125","a year in the life of william shakespeare","Biography & Autobiography",2006,4.09,"James Shapiro"
"126","lucy sullivan is getting married","Fiction",2002,3.76,"Marian Keyes"
"127","the terminal man","Fiction",2002,3.36,"Michael Crichton"
"128","the art of the novel","Literary Criticism",2003,3.96,"Milan Kundera"
"129","the bromeliad trilogy","Juvenile Fiction",2003,4.06,"Terry Pratchett"
"130","merry christmas, amelia bedelia","Juvenile Fiction",2002,4.29,"Peggy Parish"
"131","identity","Fiction",1998,3.68,"Milan Kundera"
"132","the thief of always","Fiction",1992,4.19,"Clive Barker"
"133","the illustrated alchemist","Fiction",1998,3.85,"Paulo Coelho"
"135","the last of the really great whangdoodles","Juvenile Fiction",1996,4.25,"Julie Andrews Edwards"
"136","today i feel silly & other moods that make my day","Juvenile Fiction",1998,4.15,"Jamie Lee Curtis"
"137","the missing piece meets the big o","Juvenile Fiction",1981,4.33,"Shel Silverstein"
"138","lafcadio, the lion who shot back","Juvenile Fiction",1963,4.15,"Shel Silverstein"
"139","the secret garden cookbook","Juvenile Nonfiction",1999,4.28,"Amy Cotler"
"140","laura's album","Juvenile Nonfiction",1998,4.3,"William Anderson"
"142","moonspinners","Fiction",2003,4.03,"Mary Stewart"
"144","worlds enough & time","Fiction",2002,3.75,"Dan Simmons"
"145","the cheese monkeys","Fiction",2002,3.75,"Chip Kidd"
"146","travels","Biography & Autobiography",2002,3.95,"Michael Crichton"
"147","caesar","Fiction",2003,4.36,"Colleen Mccullough"
"148","the forever war","Fiction",2003,4.15,"Joe Haldeman"
"149","amelia bedelia goes camping","Juvenile Fiction",2003,4.14,"Peggy Parish"
"150","the secret sister","Fiction",2005,3.65,"Elizabeth Lowell"
"151","amelia bedelia helps out","Juvenile Fiction",2005,4.25,"Peggy Parish"
"152","whirlpool","Fiction",2006,3.78,"Elizabeth Lowell"
"153","teach us, amelia bedelia","Juvenile Fiction",2004,4.21,"Peggy Parish"
"154","cryptonomicon","Fiction",2002,4.25,"Neal Stephenson"
"155","falling up","Juvenile Nonfiction",2002,4.34,"Shel Silverstein"
"156","anansi boys","Fiction",2006,4.02,"Neil Gaiman"
"157","fragile things","Fiction",2006,4.01,"Neil Gaiman"
"158","what went wrong?","History",2003,3.49,"Bernard Lewis"
"159","letters from the earth","Literary Criticism",2004,4.22,"Mark Twain"
"160","savannah blues","Fiction",2003,3.98,"Mary Kay Andrews"
"161","the whipping boy","Juvenile Fiction",2003,3.56,"Sid Fleischman"
"163","a nose for murder","Fiction",2003,3.47,"Lee Charles Kelley"
"164","happiness","Fiction",2003,3.78,"Will Ferguson"
"165","size 12 is not fat","Fiction",2006,3.74,"Meg Cabot"
"166","warrior of the light","Fiction",2004,3.7,"Paulo Coelho"
"167","the devil and miss prym","Fiction",2006,3.6,"Paulo Coelho"
"169","one hundred years of solitude","Fiction",2003,4.06,"Gabriel Garcia Marquez"
"170","walt whitman","Biography & Autobiography",2003,3.99,"Justin Kaplan"
"171","how to make love like a porn star","Biography & Autobiography",2004,3.75,"Jenna Jameson"
"172","the outsider","Fiction",1953,4.16,"Richard Wright"
"173","1421","History",2004,3.59,"Gavin Menzies"
"174","the andromeda strain","Fiction",2003,3.89,"Michael Crichton"
"175","congo","Fiction",2003,3.58,"Michael Crichton"
"176","johnny and the dead","Juvenile Fiction",2006,3.78,"Terry Pratchett"
"177","amelia bedelia 40th anniversary collection","Juvenile Fiction",2003,4.41,"Peggy Parish"
"178","the girls of lighthouse lane #3","Juvenile Fiction",2005,3.96,"Thomas Kinkade"
"179","the bradbury chronicles","Biography & Autobiography",2006,4.22,"Sam Weller"
"180","three rotten eggs","Juvenile Fiction",2005,3.74,"Gregory Maguire"
"181","the wicked day","Fiction",2003,4.09,"Mary Stewart"
"182","the game","Biography & Autobiography",2005,3.74,"Neil Strauss"
"183","the lion, the witch and the wardrobe (picture book edition)","Juvenile Fiction",2004,4.19,"C. S. Lewis"
"184","gold","Fiction",2003,3.99,"Isaac Asimov"
"185","the kindness of strangers","Fiction",2007,4.01,"Katrina Kittle"
"187","fluke","Fiction",2004,3.75,"Christopher Moore"
"188","lord of light","Fiction",2004,4.1,"Roger Zelazny"
"189","the perennial philosophy","Philosophy",2004,4.23,"Aldous Huxley"
"190","a crack in the edge of the world","History",2006,3.78,"Simon Winchester"
"191","dead witch walking","Fiction",2004,4.04,"Kim Harrison"
"192","the good, the bad, and the undead","Fiction",2005,4.26,"Kim Harrison"
"194","sabriel (adult)","Fiction",2004,4.17,"Garth Nix"
"197","cat cross their graves","Fiction",2005,4.3,"Shirley Rousseau Murphy"
"198","cat breaking free","Fiction",2006,4.2,"Shirley Rousseau Murphy"
"201","metro girl","Fiction",2005,3.62,"Janet Evanovich"
"202","motor mouth","Fiction",2006,3.67,"Janet Evanovich"
"203","mystic river","Fiction",2003,4.18,"Dennis Lehane"
"204","great short works of herman melville","Fiction",2004,4.02,"Herman Melville"
"205","the day i swapped my dad for two goldfish","Juvenile Fiction",2006,4.03,"Neil Gaiman"
"206","eleven minutes","Fiction",2005,3.69,"Paulo Coelho"
"208","ulysses s. grant","Biography & Autobiography",2004,3.88,"Michael Korda"
"209","a dirty job","Fiction",2006,4.07,"Christopher Moore"
"210","quicksilver","Fiction",2004,3.93,"Neal Stephenson"
"211","every book its reader","Literary Criticism",2006,3.96,"Nicholas A. Basbanes"
"212","flirting with danger","Fiction",2005,3.93,"Suzanne Enoch"
"213","lost horizon","Fiction",2004,3.92,"James Hilton"
"214","the doors of perception and heaven and hell","Philosophy",2004,3.94,"Aldous Huxley"
"215","thanksgiving","Fiction",2006,3.6,"Janet Evanovich"
"216","love overboard","Fiction",2005,3.65,"Janet Evanovich"
"217","back to the bedroom","Fiction",2005,3.67,"Janet Evanovich"
"218","the rocky road to romance","Fiction",2004,3.67,"Janet Evanovich"
"219","thomas jefferson","Biography & Autobiography",2005,3.92,"Christopher Hitchens"
"220","muhammad","Biography & Autobiography",2006,4.04,"Karen Armstrong"
"221","meeting jesus again for the first time","Religion",1995,4.14,"Marcus J. Borg"
"222","reading the bible again for the first time","Religion",2002,4.13,"Marcus J. Borg"
"223","shadow of the almighty","Religion",1989,4.39,"Elisabeth Elliot"
"224","the dance of the dissident daughter","Religion",2002,3.96,"Sue Monk Kidd"
"225","c.s. lewis","Religion",1996,4.31,"C. S. Lewis"
"226","the screwtape letters","Religion",2001,4.22,"C. S. Lewis"
"227","mere christianity","Religion",2001,4.32,"C. S. Lewis"
"228","learning to love","Religion",1998,4.5,"Thomas Merton"
"229","the mediator #4: darkest hour","Juvenile Fiction",2004,4.17,"Meg Cabot"
"230","cash","Biography & Autobiography",2003,4.07,"Johnny Cash"
"231","the collected letters of c.s. lewis, volume 1","Biography & Autobiography",2004,4.37,"C. S. Lewis"
"233","anybody out there?","Fiction",2006,3.91,"Marian Keyes"
"234","my little pony: hide-and-seek","Juvenile Fiction",2004,4.14,"Jennifer Frantz"
"235","the confusion","Fiction",2005,4.25,"Neal Stephenson"
"236","bridge to terabithia (rack)","Juvenile Fiction",2004,3.99,"Katherine Paterson"
"237","practical demonkeeping","Fiction",2004,3.82,"Christopher Moore"
"238","island of the sequined love nun","Fiction",2004,3.79,"Christopher Moore"
"239","the lust lizard of melancholy cove","Fiction",2004,3.86,"Christopher Moore"
"240","weetzie bat","Juvenile Fiction",2004,3.74,"Francesca Lia Block"
"241","behind the curtain","Juvenile Fiction",2006,3.9,"Peter Abrahams"
"242","catherine, called birdy (summer reading edition)","Juvenile Fiction",2004,3.71,"Karen Cushman"
"243","wicked musical tie-in edition","Fiction",2004,3.53,"Gregory Maguire"
"244","son of a witch","Fiction",2006,3.47,"Gregory Maguire"
"245","this rough magic","Fiction",2004,4.05,"Mary Stewart"
"246","airs above the ground","Fiction",2004,4.04,"Mary Stewart"
"247","the mediator #5: haunted","Juvenile Fiction",2004,4.15,"Meg Cabot"
"248","beauty","Juvenile Fiction",2005,4.05,"Robin Mckinley"
"252","charms for the easy life","Fiction",2005,4.02,"Kaye Gibbons"
"253","the reading group","Fiction",2005,3.34,"Elizabeth Noble"
"254","a couple of april fools","Juvenile Fiction",2005,3.5,"Gregory Maguire"
"255","what christians believe","Religion",2005,4.2,"C. S. Lewis"
"256","psyche in a dress","Juvenile Fiction",2006,3.84,"Francesca Lia Block"
"258","the chronicles of narnia movie tie-in edition (adult)","Fiction",2005,4.26,"C. S. Lewis"
"259","the lion, the witch and the wardrobe movie tie-in edition (rack)","Juvenile Fiction",2005,4.21,"C. S. Lewis"
"260","the nightmare room, books 1-2-3: the nightmare begins!","Juvenile Fiction",2005,3.89,"R.l. Stine"
"261","a quick bite","Fiction",2005,3.91,"Lynsay Sands"
"262","goodnight moon 60th anniversary edition","Juvenile Fiction",2005,4.27,"Margaret Wise Brown"
"263","brave new world and brave new world revisited","Fiction",2005,4.16,"Aldous Huxley"
"264","the final solution","Fiction",2005,3.31,"Michael Chabon"
"265","the cat's pajamas","Fiction",2005,3.73,"Ray Bradbury"
"266","holy skirts","Fiction",2005,3.61,"Rene Steinke"
"267","time for kids: butterflies!","Juvenile Nonfiction",2006,4,"Editors Of Time For Kids"
"268","a false mirror","Fiction",2007,4.02,"Charles Todd"
"269","cracks in my foundation","Fiction",2005,3.81,"Marian Keyes"
"270","a fistful of charms","Fiction",2006,4.28,"Kim Harrison"
"271","for a few demons more","Fiction",2007,4.33,"Kim Harrison"
"272","mysteries of pittsburgh","Fiction",2005,3.64,"Michael Chabon"
"273","everything is illuminated tie-in","Fiction",2005,3.9,"Jonathan Safran Foer"
"274","flight of the nighthawks","Fiction",2006,3.95,"Raymond E. Feist"
"275","into a dark realm","Fiction",2007,4,"Raymond E. Feist"
"278","last of the wilds","Fiction",2006,4.03,"Trudi Canavan"
"279","voice of the gods","Fiction",2007,4.08,"Trudi Canavan"
"280","missing mom","Fiction",2006,3.54,"Joyce Carol Oates"
"281","the collected letters of c.s. lewis, volume 3","Biography & Autobiography",2004,4.49,"C. S. Lewis"
"282","touch not the cat","Fiction",2005,3.91,"Mary Stewart"
"283","king of the vagabonds","Fiction",2006,4.16,"Neal Stephenson"
"284","odalisque","Fiction",2006,4.2,"Neal Stephenson"
"285","black boy","Biography & Autobiography",2005,4.05,"Richard Wright"
"286","the sheltering sky","Fiction",2005,3.91,"Paul Bowles"
"287","rat bastards","Biography & Autobiography",2006,3.51,"John Shea"
"288","the last days of henry viii","Biography & Autobiography",2005,4.14,"Robert Hutchinson"
"289","the thorn birds","Fiction",2005,4.23,"Colleen Mccullough"
"290","krakatoa","History",2005,3.87,"Simon Winchester"
"291","the professor and the madman","Biography & Autobiography",2005,3.84,"Simon Winchester"
"292","hit parade","Fiction",2006,3.86,"Lawrence Block"
"295","the lion, the witch and the wardrobe read-aloud edition","Juvenile Fiction",2005,4.21,"C. S. Lewis"
"296","mambo kings play songs of love, the tie-in","Fiction",2005,3.68,"Oscar Hijuelos"
"297","sex with the queen","History",2006,3.91,"Eleanor Herman"
"298","brave new world","Fiction",2006,3.98,"Aldous Huxley"
"299","queen of babble","Fiction",2006,3.69,"Meg Cabot"
"300","animal, vegetable, miracle","Biography & Autobiography",2007,4.04,"Barbara Kingsolver"
"301","good omens","Fiction",2006,4.25,"Neil Gaiman"
"302","dates from hell","Fiction",2006,3.78,"Kim Harrison"
"303","continental drift","Fiction",2007,3.87,"Russell Banks"
"304","the burglar who thought he was bogart","Fiction",2006,3.89,"Lawrence Block"
"305","next","Fiction",2006,3.49,"Michael Crichton"
"306","how to be popular","Juvenile Fiction",2006,3.54,"Meg Cabot"
"307","the annotated charlotte's web","Juvenile Nonfiction",2006,4.16,"E. B. White"
"308","charlotte's web: wilbur finds a friend","Juvenile Fiction",2006,4.1,"Jennifer Frantz"
"309","the autumn of the patriarch","Fiction",2006,3.85,"Gabriel Garcia Marquez"
"310","how to make money like a porn star","Comics & Graphic Novels",2006,3.31,"Neil Strauss"
"311","little house in the big woods","Juvenile Fiction",2007,4.18,"Laura Ingalls Wilder"
"312","farmer boy","Juvenile Fiction",2006,4.06,"Laura Ingalls Wilder"
"313","the long winter","Juvenile Fiction",2007,4.14,"Laura Ingalls Wilder"
"314","little town on the prairie","Juvenile Fiction",2007,4.18,"Laura Ingalls Wilder"
"315","the first four years","Juvenile Fiction",2007,3.88,"Laura Ingalls Wilder"
"316","the alchemist - gift edition","Fiction",2006,3.85,"Paulo Coelho"
"317","pretty things","Biography & Autobiography",2006,4.31,"Liz Goldwyn"
"318","eaters of the dead","Fiction",2006,3.66,"Michael Crichton"
"320","the zero","Fiction",2006,3.5,"Jess Walter"
"321","kitchen confidential updated ed","Biography & Autobiography",2007,4.06,"Anthony Bourdain"
"323","the crying of lot 49","Fiction",1966,3.7,"Thomas Pynchon"
"324","an american childhood","Biography & Autobiography",1988,3.91,"Annie Dillard"
"325","teaching a stone to talk","Literary Criticism",1988,4.2,"Annie Dillard"
"326","holy the firm","Literary Criticism",1988,4.22,"Annie Dillard"
"327","think on these things","Religion",1989,4.4,"Jiddu Krishnamurti"
"329","tell my horse","Fiction",1990,3.97,"Zora Neale Hurston"
"330","jonah's gourd vine","Fiction",1990,4,"Zora Neale Hurston"
"331","the chaneysville incident","History",1990,3.96,"David Bradley"
"332","the writing life","Literary Criticism",1990,4.03,"Annie Dillard"
"334","three by annie dillard","Fiction",1990,4.34,"Annie Dillard"
"336","the complete stories","Fiction",1996,4.25,"Zora Neale Hurston"
"337","legends, lies & cherished myths of world history","History",1994,3.48,"Richard Shenkman"
"338","the infinite plan","Fiction",1994,3.71,"Isabel Allende"
"340","cathedral, forge and waterwheel","History",1995,3.85,"Joseph Gies"
"342","success stories","Fiction",1996,3.72,"Russell Banks"
"344","mr. ives' christmas","Fiction",1996,3.76,"Oscar Hijuelos"
"345","slowness","Fiction",1997,3.66,"Milan Kundera"
"348","brave new world","Fiction",1998,3.98,"Aldous Huxley"
"349","you can't go home again","Fiction",1998,4.05,"Thomas Wolfe"
"350","the fifth mountain","Fiction",1999,3.62,"Paulo Coelho"
"351","v.","Fiction",1999,3.96,"Thomas Pynchon"
"352","identity","Fiction",1999,3.68,"Milan Kundera"
"353","the poisonwood bible","Fiction",1999,4.05,"Barbara Kingsolver"
"354","cloudsplitter","Fiction",1999,3.9,"Russell Banks"
"355","plato, not prozac!","Philosophy",2000,3.39,"Lou Marinoff"
"356","the crying of lot 49","Fiction",1999,3.7,"Thomas Pynchon"
"357","the map that changed the world","Biography & Autobiography",2002,3.82,"Simon Winchester"
"358","the odyssey of homer","Fiction",1999,3.75,"Homer"
"359","collected novellas","Fiction",1999,4.01,"Gabriel Garcia Marquez"
"360","collected stories","Fiction",1999,4.19,"Gabriel Garcia Marquez"
"361","a mulligan for bobby jobe","Fiction",2002,3.31,"Robert Cullen"
"362","in the footsteps of mr. kurtz","History",2002,3.98,"Michela Wrong"
"363","every tongue got to confess","Literary Criticism",2002,3.98,"Zora Neale Hurston"
"364","kitchen confidential","Biography & Autobiography",2000,4.06,"Anthony Bourdain"
"365","one matchless time","Biography & Autobiography",2005,3.97,"Jay Parini"
"366","the girl in the glass","Fiction",2005,3.72,"Jeffrey Ford"
"368","wittgenstein's poker","Philosophy",2002,3.75,"David Edmonds"
"370","the schopenhauer cure","Fiction",2006,4.21,"Irvin Yalom"
"371","african nights","Biography & Autobiography",2000,3.8,"Kuki Gallmann"
"372","the autobiography of mark twain","Biography & Autobiography",2000,4.05,"Charles Neider"
"373","joy in the morning","Fiction",2000,3.9,"Betty Smith"
"375","the darling","Fiction",2005,3.78,"Russell Banks"
"376","the making of a philosopher","Philosophy",2003,3.65,"Colin Mcginn"
"378","prodigal summer","Fiction",2001,4,"Barbara Kingsolver"
"379","tales of the city","Fiction",1989,4.04,"Armistead Maupin"
"381","the hidden hand","Fiction",1992,3.43,"Carroll John Daly"
"382","europe","History",1998,4.17,"Norman Davies"
"384","gold bug variations","Fiction",1992,4.13,"Richard Powers"
"385","three farmers on their way to a dance","Fiction",1992,3.84,"Richard Powers"
"386","the fourteen sisters of emilio montez o'brien","Fiction",1996,3.69,"Oscar Hijuelos"
"387","fiskadoro","Fiction",1995,3.54,"Denis Johnson"
"388","the stars at noon","Fiction",1995,3.59,"Denis Johnson"
"389","operation wandering soul","Fiction",1994,3.62,"Richard Powers"
"390","reasons to live","Fiction",1995,4.16,"Amy Hempel"
"391","prisoner's dilemma","Fiction",1996,3.87,"Richard Powers"
"392","the god of small things","Fiction",1998,3.93,"Arundhati Roy"
"393","courtesans and fishcakes","History",1999,3.93,"James Davidson"
"394","girlfriend in a coma","Fiction",1999,3.61,"Douglas Coupland"
"395","the long hard road out of hell","Biography & Autobiography",1999,3.89,"Marilyn Manson"
"396","confessions of an ugly stepsister","Fiction",2000,3.52,"Gregory Maguire"
"397","the dirt","Biography & Autobiography",2002,4.16,"Tommy Lee"
"398","life is elsewhere","Fiction",2000,3.95,"Milan Kundera"
"399","cat laughing last","Fiction",2002,4.21,"Shirley Rousseau Murphy"
"400","the crow: the lazarus heart","Fiction",1999,3.7,"Poppy Z. Brite"
"401","well of darkness","Fiction",2001,3.66,"Margaret Weis"
"402","the light fantastic","Fiction",2000,3.97,"Terry Pratchett"
"403","u.s.s. seawolf","Fiction",2001,3.94,"Patrick Robinson"
"404","realms of dragons","Fiction",1999,4.04,"Margaret Weis"
"405","the player of games","Fiction",1997,4.27,"Iain Banks"
"406","my soul to keep","Fiction",1998,4.18,"Tananarive Due"
"407","peril's gate","Fiction",2002,4.15,"Janny Wurts"
"408","fugitive prince","Fiction",1998,3.88,"Janny Wurts"
"409","love in vein","Fiction",1995,3.6,"Poppy Z. Brite"
"410","cat on the edge","Fiction",1996,3.9,"Shirley Rousseau Murphy"
"411","cat in the dark","Fiction",1999,4.25,"Shirley Rousseau Murphy"
"412","treasure box","Fiction",1997,3.32,"Orson Scott Card"
"413","homebody","Fiction",1999,3.39,"Orson Scott Card"
"414","imajica ii","Fiction",1995,4.42,"Clive Barker"
"415","choke","Fiction",1996,3.83,"Stuart Woods"
"416","dirt","Fiction",1997,3.88,"Stuart Woods"
"417","kilo class","Fiction",1999,4.04,"Patrick Robinson"
"418","their eyes were watching god","Fiction",2006,3.9,"Zora Neale Hurston"
"419","a tree grows in brooklyn","Fiction",2006,4.26,"Betty Smith"
"420","one hundred years of solitude","Fiction",2006,4.06,"Gabriel Garcia Marquez"
"421","daughter of fortune","Fiction",2006,3.9,"Isabel Allende"
"422","by the river piedra i sat down and wept","Fiction",2006,3.57,"Paulo Coelho"
"423","the alchemist","Fiction",2006,3.85,"Paulo Coelho"
"424","veronika decides to die","Fiction",2006,3.7,"Paulo Coelho"
"425","goodnight moon 123","Juvenile Fiction",2007,3.59,"Margaret Wise Brown"
"426","charlotte's web signature edition","Juvenile Fiction",2006,4.16,"E. B. White"
"427","by myself and then some","Biography & Autobiography",2006,3.95,"Lauren Bacall"
"429","factotum tie-in","Fiction",2006,3.96,"Charles Bukowski"
"430","the white masai","Biography & Autobiography",2006,3.43,"Corinne Hofmann"
"431","mandy","Juvenile Fiction",2006,4.24,"Julie Andrews Edwards"
"433","spider's house","Fiction",2006,4.03,"Paul Bowles"
"434","days","Fiction",2006,3.3,"Paul Bowles"
"436","coraline","Fiction",2006,4.05,"Neil Gaiman"
"437","points in time","Fiction",2006,3.68,"Paul Bowles"
"438","at the edge","Fiction",2007,3.79,"Cait London"
"439","remind me again why i need a man","Fiction",2007,3.31,"Claudia Carroll"
"440","stardust","Fiction",2006,4.08,"Neil Gaiman"
"441","when the heart waits","Religion",2006,4.17,"Sue Monk Kidd"
"442","the gabriel hounds","Fiction",2006,3.91,"Mary Stewart"
"443","the pact","Fiction",2006,4.01,"Jodi Picoult"
"444","the known world","Fiction",2006,3.83,"Edward P. Jones"
"445","ines of my soul lp","Fiction",2006,3.92,"Isabel Allende"
"446","women","Fiction",2007,3.87,"Charles Bukowski"
"450","to kill a mockingbird (slipcased edition)","Fiction",2006,4.27,"Harper Lee"
"451","the complete c. s. lewis signature classics","Religion",2007,4.61,"C. S. Lewis"
"452","the end of days","History",2007,4.06,"Zecharia Sitchin"
"453","the blue and brown books","Philosophy",1965,4.13,"Ludwig Wittgenstein"
"465","the world's religions","History",1991,4.07,"Huston Smith"
"466","muhammad","Biography & Autobiography",1993,4.15,"Karen Armstrong"
"467","a manual for living","Religion",1994,4.22,"Epictetus"
"468","the pilgrimage","Fiction",1995,3.65,"Paulo Coelho"
"469","the valkyries","Fiction",1996,3.31,"Paulo Coelho"
"471","a circle of quiet","Religion",1984,4.21,"Madeleine L'engle"
"474","betsy-tacy","Juvenile Fiction",1993,4.07,"Maud Hart Lovelace"
"475","betsy and tacy go over the big hill","Juvenile Fiction",1993,4.17,"Maud Hart Lovelace"
"476","heaven to betsy","Juvenile Fiction",1945,4.29,"Maud Hart Lovelace"
"478","the wish giver","Juvenile Fiction",1986,3.83,"Bill Brittain"
"479","racso and the rats of nimh","Juvenile Fiction",1988,3.76,"Jane Leslie Conly"
"480","child of the owl","Juvenile Fiction",1990,3.6,"Laurence Yep"
"481","r-t, margaret, and the rats of nimh","Juvenile Fiction",1991,3.52,"Jane Leslie Conly"
"482","the rainbow people","Juvenile Fiction",1992,3.75,"Laurence Yep"
"483","dragon's gate","Juvenile Fiction",1995,3.67,"Laurence Yep"
"484","betsy's wedding","Juvenile Fiction",1996,4.31,"Maud Hart Lovelace"
"485","betsy and the great world","Juvenile Fiction",1996,4.13,"Maud Hart Lovelace"
"486","betsy and joe","Juvenile Fiction",1995,4.31,"Maud Hart Lovelace"
"487","betsy was a junior","Juvenile Fiction",1995,4.17,"Maud Hart Lovelace"
"488","crazy lady!","Juvenile Fiction",1995,3.64,"Jane Leslie Conly"
"489","strawberry girl 60th anniversary edition","Juvenile Fiction",1995,3.86,"Lois Lenski"
"490","seven spiders spinning","Juvenile Fiction",1995,3.61,"Gregory Maguire"
"491","american dragons","Juvenile Fiction",1995,3.41,"Laurence Yep"
"492","the midwife's apprentice (rpkg)","Juvenile Fiction",1996,3.72,"Karen Cushman"
"493","winter on the farm","Juvenile Fiction",1997,4.13,"Laura Ingalls Wilder"
"494","down to the bonny glen","Juvenile Fiction",2001,4.14,"Melissa Wiley"
"495","monster","Juvenile Fiction",2001,3.71,"Walter Dean Myers"
"496","emily of deep valley","Juvenile Fiction",2000,4.23,"Maud Hart Lovelace"
"497","the trumpet of the swan","Juvenile Fiction",2000,4.07,"E. B. White"
"498","the good liar","Juvenile Fiction",2002,3.53,"Gregory Maguire"
"499","old town in the green groves","Juvenile Fiction",2004,4.04,"Cynthia Rylant"
"500","howl's moving castle","Juvenile Fiction",2001,4.3,"Diana Wynne Jones"
"501","four stupid cupids","Juvenile Fiction",2001,3.52,"Gregory Maguire"
"502","charlotte's web (full color)","Juvenile Fiction",2001,4.16,"E. B. White"
"503","little house friends","Juvenile Fiction",1998,3.99,"Heather Henson"
"504","christmas stories","Juvenile Fiction",1998,4.22,"Laura Ingalls Wilder"
"505","winter days in the big woods","Juvenile Fiction",1995,4.28,"Laura Ingalls Wilder"
"506","christmas in the big woods","Juvenile Fiction",1997,4.19,"Laura Ingalls Wilder"
"507","a little house birthday","Juvenile Fiction",1998,4.13,"Laura Ingalls Wilder"
"508","the deer in the wood","Juvenile Fiction",1999,4.17,"Laura Ingalls Wilder"
"509","a little prairie house","Juvenile Fiction",1999,4.19,"Laura Ingalls Wilder"
"510","grizzwold","Juvenile Fiction",1984,3.8,"Syd Hoff"
"511","chester","Juvenile Fiction",1986,3.75,"Syd Hoff"
"512","captain cat","Juvenile Fiction",1994,3.66,"Syd Hoff"
"513","my little house crafts book","Juvenile Nonfiction",1998,4.05,"Carolyn Strom Collins"
"514","pioneer girl","Juvenile Nonfiction",2000,4.15,"William Anderson"
"515","shade's children (rack)","Juvenile Fiction",1998,3.9,"Garth Nix"
"516","all-american girl","Juvenile Fiction",2003,3.74,"Meg Cabot"
"518","a light in the attic book and cd","Juvenile Nonfiction",2001,4.34,"Shel Silverstein"
"519","the chronicles of narnia (adult)","Fiction",2001,4.26,"C. S. Lewis"
"522","virgin","Fiction",1980,3.86,"James Patterson"
"527","slim to none","Biography & Autobiography",2004,3.65,"Jennifer Hendricks"
"533","the complete works","History",1964,4.29,"Tacitus"
"534","my sweet-orange tree","Juvenile Nonfiction",1983,4.39,"Jos<U+00E9> Mauro De Vasconcelos"
"537","the toy maker","Biography & Autobiography",2004,3,"Anthony Mcreavy"
"539","a time to kill","Fiction",1992,4.06,"John Grisham"
"541","timequake","Fiction",1998,3.72,"Kurt Vonnegut"
"542","blood and gold","Fiction",2002,3.89,"Anne Rice"
"555","the first forty-nine stories","Fiction",1993,3.99,"Ernest Hemingway"
"567","the trial","Fiction",2001,3.98,"Franz Kafka"
"591","earthly powers","Fiction",2004,4.15,"Anthony Burgess"
"597","the convenient marriage","Fiction",2005,3.68,"Georgette Heyer"
"598","lady of quality","Fiction",2005,3.87,"Georgette Heyer"
"602","catch-22","Fiction",1994,3.98,"Joseph Heller"
"604","the heart of the matter","Fiction",2004,3.99,"Graham Greene"
"610","watermelon","Fiction",2005,3.78,"Marian Keyes"
"621","total recall","Fiction",1990,3.93,"Piers Anthony"
"634","world studies: eastern hemisphere","Juvenile Nonfiction",2004,2,"Heidi Hayes Jacobs"
"636","the african-american odyssey","History",2005,3.95,"Darlene Clark Hine"
